"","N","N animal spp.","N plant spp.","Metric","BRT value","BRT cv","Size matching GLM value"
"1","124179","1561","3154","AUC",0.969,0.904,0.56
"2","","","","Accuracy",0.932,0.881,0.807
"3","","","","Kappa",0.759,0.574,0.001
"4","","","","TSS",0.694,0.517,0.001
"5","117364","1542","3048","AUC",0.956,0.904,0.56
"6","","","","Accuracy",0.925,0.85,0.81
"7","","","","Kappa",0.732,0.574,0.001
"8","","","","TSS",0.664,0.547,0.001
"9","330","74","194","R2",0.999,0.958,0.827
"10","","","","NRMSE",3.4,20.4,41.5
"11","300","199","0","R2",0.947,0.8,0.284
"12","","","","NRMSE",23.7,44.7,84.5
"13","228","68","174","R2",0.98,0.734,0.332
"14","","","","NRMSE",14.9,51.5,81.5
"15","2215","308","801","R2",0.819,0.357,0.01
"16","","","","NRMSE",45.1,80.4,99.5
